adp_number,sdp_number,avg_adp_hops,avg_sdp_hops,avg_adp_length,avg_sdp_length,demand,src,dst
5,2,8.20,2,5282.45,675.52,0,1247,635
5,1,10.80,7,6120.69,1130.20,0,936,635
5,1,26.80,14,11358.15,1942.11,0,936,358
5,1,23.60,9,10035.65,919.98,0,635,358
5,1,9.40,5,5120.33,790.03,0,1247,936
5,1,23.20,9,9850.46,1152.08,0,1247,358
4,2,7.75,6,3879.05,1826.31,0,929,635
4,2,12.00,11,6835.68,3084.96,0,935,402
4,2,15.50,9,6743.25,2266.34,0,734,358
4,2,4.75,2,2778.28,468.73,0,1248,929
4,2,6.00,4,3492.64,1357.59,0,1248,635
4,2,5.50,4,3583.28,981.92,0,1247,929
4,2,4.25,2,3305.12,513.19,0,1248,1247
4,1,6.25,4,2202.13,274.65,0,936,935
4,1,7.00,5,2514.28,279.34,0,936,929
4,1,3.00,1,869.88,37.94,0,935,929
4,1,15.00,9,7770.24,2293.42,0,936,742
4,1,15.50,8,9045.85,1836.11,0,935,742
4,1,15.25,8,7501.98,1832.59,0,929,742
4,1,22.00,10,10467.97,2404.61,0,936,734
4,1,22.25,9,11055.00,1947.30,0,935,734
4,1,22.50,9,10524.13,1943.78,0,929,734
4,1,11.75,1,4937.12,111.19,0,742,734
4,1,13.25,9,7251.21,1464.59,0,936,733
4,1,12.75,10,7008.82,1997.12,0,935,733
4,1,13.00,10,6954.73,1993.60,0,929,733
4,1,9.75,2,4036.19,161.01,0,742,733
4,1,16.75,3,7002.21,272.20,0,734,733
4,1,7.25,6,4227.85,955.45,0,935,635
4,1,14.75,4,8622.94,1015.75,0,742,635
4,1,19.50,5,8255.98,1126.95,0,734,635
4,1,14.75,6,8103.24,1176.76,0,733,635
4,1,8.50,5,4670.07,1132.58,0,936,6
4,1,7.25,4,4408.89,675.42,0,935,6
4,1,6.75,4,3444.09,671.89,0,929,6
4,1,13.75,5,7298.55,1644.98,0,742,6
4,1,20.50,6,9309.58,1756.17,0,734,6
4,1,11.75,7,6617.53,1805.99,0,733,6
4,1,9.00,3,5953.55,764.31,0,635,6
4,1,22.50,14,11044.82,1849.80,0,936,449
4,1,23.75,17,11438.51,2315.62,0,935,449
4,1,24.25,17,11597.43,1906.97,0,929,449
4,1,17.50,10,7969.34,877.69,0,742,449
4,1,22.50,11,8246.13,988.88,0,734,449
4,1,16.75,9,6045.71,826.03,0,733,449
