adp_number,sdp_number,avg_adp_hops,avg_sdp_hops,avg_adp_length,avg_sdp_length,demand,src,dst
4,2,5.25,2,2747.70,468.73,0,1248,929
4,2,10.25,4,5195.50,981.92,0,1247,929
4,2,9.50,2,5082.13,513.19,0,1248,1247
4,1,3.00,1,869.88,37.94,0,935,929
4,1,12.50,1,4797.84,111.19,0,742,734
4,1,10.75,2,3363.91,161.01,0,742,733
4,1,17.75,3,6065.86,272.20,0,734,733
4,1,11.25,4,5421.15,675.42,0,935,6
4,1,10.25,4,5195.50,671.89,0,929,6
4,1,9.75,1,3228.04,98.22,0,742,138
4,1,16.75,2,6198.28,209.41,0,734,138
4,1,10.25,1,3167.13,62.79,0,733,138
4,1,6.25,2,2973.35,273.71,0,1248,935
4,1,9.50,2,5082.13,401.71,0,1248,6
4,1,11.25,4,5421.15,530.23,0,1247,935
4,1,7.25,1,3825.84,339.10,0,1247,6
4,1,6.50,3,3100.15,369.94,0,1246,935
4,1,5.50,3,2874.50,366.42,0,1246,929
4,1,7.25,1,3825.84,305.47,0,1246,6
4,1,4.75,1,2761.13,96.24,0,1248,1246
4,1,7.25,1,3825.84,160.43,0,1247,1246
3,2,4.00,3,1796.85,257.12,0,941,935
3,2,3.00,2,526.89,234.00,0,939,935
3,2,3.00,2,843.24,132.63,0,939,934
3,2,3.67,3,1555.37,257.12,0,934,933
3,2,3.33,2,1524.06,132.63,0,941,929
3,2,3.33,2,1675.51,234.00,0,933,929
3,2,6.67,2,1355.72,566.85,0,742,735
3,2,5.67,2,3548.22,566.85,0,744,734
3,2,10.00,2,5366.52,1433.53,0,981,636
3,2,6.67,2,1183.45,373.30,0,744,138
3,2,7.00,3,1387.12,729.21,0,735,138
3,2,3.67,3,1783.48,662.15,0,1248,939
3,2,5.00,4,3108.70,1689.48,0,1247,941
3,2,5.33,5,3198.85,1346.40,0,1247,939
3,2,4.33,3,2249.27,1261.86,0,1246,941
3,2,5.33,4,2462.57,1536.34,0,1246,939
3,1,4.67,1,4155.95,139.38,0,981,951
3,1,11.67,5,5948.07,1049.60,0,993,941
3,1,12.00,6,6038.21,1233.93,0,993,939
3,1,3.00,1,1163.54,16.47,0,941,939
3,1,11.67,5,6104.83,1183.87,0,993,935
3,1,11.33,4,5924.57,1035.92,0,993,934
3,1,3.00,1,1380.81,13.68,0,941,934
3,1,3.00,2,839.06,98.31,0,935,934
3,1,12.00,5,6076.74,1643.74,0,993,933
3,1,3.33,2,1247.95,56.54,0,941,933
3,1,3.00,1,1241.31,40.07,0,939,933
3,1,3.33,1,1680.20,88.59,0,935,933
3,1,11.67,5,5982.12,1179.17,0,993,929
3,1,2.33,1,311.88,54.76,0,939,929
3,1,2.33,1,709.88,47.73,0,934,929
3,1,11.00,3,5987.01,987.63,0,981,744
3,1,10.67,2,5489.92,848.25,0,951,744
3,1,10.00,2,5710.77,882.16,0,981,742
3,1,9.67,1,5213.68,742.78,0,951,742
3,1,2.33,1,834.68,105.47,0,744,742
3,1,15.00,4,6431.04,1139.86,0,981,735
3,1,14.67,3,5933.94,1000.49,0,951,735
3,1,7.00,1,1361.63,152.23,0,744,735
3,1,11.00,3,6029.80,1030.41,0,981,734
3,1,10.67,2,5532.70,891.04,0,951,734
