adp_number,sdp_number,avg_adp_hops,avg_sdp_hops,avg_adp_length,avg_sdp_length,demand,src,dst
7,1,6.00,3,896.45,54.25,0,983,362
6,2,11.17,7,2018.88,343.04,0,983,788
6,2,7.67,5,1170.08,273.22,0,983,639
6,2,28.50,22,5209.26,1613.89,0,983,557
6,2,23.67,14,4262.52,814.41,0,927,557
6,2,8.67,6,715.50,179.73,0,1045,91
6,2,27.50,16,4632.39,1165.30,0,1045,557
6,2,20.17,16,2759.70,725.82,0,91,1
6,2,18.17,13,2478.54,605.25,0,399,1
6,1,15.33,10,2255.44,271.61,0,983,927
6,1,18.50,12,2701.74,277.76,0,983,91
6,1,17.50,12,2313.83,243.90,0,927,91
6,1,6.67,4,1292.29,109.21,0,983,876
6,1,13.50,6,2269.29,188.05,0,927,876
6,1,17.67,13,3093.75,332.84,0,876,91
6,1,9.83,3,1471.92,85.10,0,927,788
6,1,17.17,13,2899.49,222.52,0,788,91
6,1,8.33,3,1571.32,102.95,0,876,788
6,1,11.67,5,1894.40,147.82,0,927,639
6,1,17.33,13,2977.82,319.24,0,639,91
6,1,4.83,1,790.07,40.23,0,876,639
6,1,6.50,2,1184.50,62.72,0,788,639
6,1,25.83,14,3884.54,360.83,0,557,91
6,1,27.83,20,5428.99,546.22,0,876,557
6,1,24.67,17,4695.26,443.27,0,788,557
6,1,25.67,19,4981.41,505.99,0,639,557
6,1,18.50,14,2936.42,289.40,0,983,399
6,1,15.67,9,2177.37,195.02,0,927,399
6,1,7.17,3,652.23,48.88,0,399,91
6,1,17.50,13,3015.16,345.70,0,876,399
6,1,15.67,10,2133.23,221.04,0,788,399
6,1,17.17,12,2930.44,283.76,0,639,399
6,1,23.17,14,3569.55,322.53,0,557,399
6,1,11.83,6,3128.34,269.94,0,983,364
6,1,17.50,10,4041.62,438.35,0,927,364
6,1,21.17,12,4342.66,395.47,0,364,91
6,1,10.33,4,3070.50,277.99,0,876,364
6,1,13.17,7,3535.39,353.25,0,788,364
6,1,11.33,5,3252.34,290.53,0,639,364
6,1,29.67,22,6639.20,1201.33,0,557,364
6,1,20.67,15,4333.89,444.36,0,399,364
6,1,15.00,7,2414.51,233.96,0,927,362
6,1,18.17,14,2912.93,378.76,0,362,91
6,1,5.67,1,945.87,45.91,0,876,362
6,1,10.00,4,1691.66,148.86,0,788,362
6,1,6.83,2,1092.64,86.14,0,639,362
6,1,29.33,21,4990.80,593.90,0,557,362
6,1,18.33,14,2951.11,369.90,0,399,362
6,1,10.83,4,3025.63,197.76,0,364,362
6,1,20.17,13,3343.14,324.70,0,1045,983
6,1,20.83,16,3222.16,297.60,0,1045,927
6,1,18.67,14,3449.11,892.00,0,1045,876
6,1,19.67,16,3256.24,416.03,0,1045,788
6,1,19.00,15,3267.42,377.18,0,1045,639
6,1,11.83,7,996.48,119.96,0,1045,399
6,1,21.50,10,4404.40,651.54,0,1045,364
6,1,19.17,14,3233.95,811.78,0,1045,362
6,1,21.67,17,3142.01,426.22,0,983,1
6,1,12.17,7,1749.77,155.08,0,927,1
6,1,19.83,13,3184.89,342.66,0,876,1
6,1,16.50,10,2407.11,239.71,0,788,1
6,1,18.17,12,2803.69,302.44,0,639,1
6,1,20.83,10,3310.25,356.79,0,557,1
6,1,23.67,17,5842.05,592.97,0,364,1
6,1,21.67,14,3316.32,388.58,0,362,1
6,1,24.33,18,3365.78,384.85,0,1045,1
5,3,10.80,7,2647.52,1059.47,0,876,752
5,3,15.40,13,2599.28,1017.17,0,639,421
5,3,13.60,11,1920.70,998.05,0,788,413
5,3,15.00,13,1650.90,845.78,0,1066,414
5,3,21.00,20,3322.32,1472.83,0,721,1
5,2,21.60,18,3999.32,1162.80,0,853,91
5,2,13.20,8,2465.87,596.90,0,853,814
5,2,17.00,14,2300.48,661.83,0,796,91
5,2,17.80,15,2297.68,717.74,0,814,721
5,2,5.60,3,444.79,79.07,0,718,91
5,2,22.00,18,4385.98,1836.96,0,853,718
5,2,19.40,16,2397.30,741.02,0,814,718
5,2,17.00,15,2969.44,738.85,0,796,718
5,2,16.00,14,2761.90,692.95,0,788,718
5,2,5.80,3,388.25,77.14,0,721,718
5,2,5.60,4,799.78,209.21,0,983,640
5,2,14.00,10,2296.55,687.45,0,928,640
5,2,11.60,6,2341.24,500.48,0,853,640
5,2,6.00,3,1009.21,202.44,0,788,640
5,2,10.80,6,2636.92,405.80,0,752,640
5,2,9.80,5,2219.55,388.63,0,853,639
5,2,11.60,7,2794.80,488.54,0,752,639
5,2,18.00,12,3454.19,838.80,0,924,557
5,2,19.20,12,3639.45,882.55,0,814,557
5,2,21.80,16,3742.10,1572.22,0,721,557
5,2,23.00,17,3751.60,1486.12,0,718,557
5,2,23.40,20,5059.06,1432.71,0,640,557
5,2,5.40,2,769.68,135.23,0,927,463
5,2,6.20,3,996.08,132.67,0,814,463
5,2,14.80,9,2854.70,705.32,0,853,458
5,2,17.20,14,2201.12,763.26,0,721,458
5,2,18.80,15,2213.64,757.50,0,718,458
5,2,16.80,14,2103.11,628.40,0,721,457
5,2,18.40,15,2227.30,614.01,0,718,457
5,2,7.60,5,862.26,260.48,0,987,440
5,2,16.40,14,2717.70,782.26,0,639,440
5,2,12.60,9,2173.95,417.73,0,983,430
5,2,5.00,2,378.60,42.88,0,721,421
5,2,7.20,3,605.62,113.16,0,440,421
5,2,11.00,8,1132.75,279.24,0,414,91
5,2,12.80,8,2221.40,584.83,0,876,414
5,2,12.40,7,1840.06,417.84,0,814,414
5,2,11.00,8,1154.95,233.02,0,721,414
5,2,11.40,6,1390.38,370.01,0,457,414
5,2,19.40,15,3659.17,987.11,0,853,413
5,2,14.80,13,2152.26,807.89,0,796,413
5,2,7.60,5,778.77,162.59,0,718,413
5,2,13.20,10,2398.08,598.48,0,639,413
5,2,6.20,4,522.32,123.58,0,421,413
5,2,21.20,17,3953.80,1053.21,0,853,408
5,2,17.20,14,2208.28,692.03,0,814,408
5,2,16.40,13,2075.84,708.51,0,458,408
5,2,16.60,13,2194.01,565.03,0,457,408
5,2,6.20,4,762.39,159.27,0,987,399
5,2,15.40,10,1953.27,601.59,0,814,399
5,2,14.20,9,1843.54,555.23,0,458,399
5,2,11.80,9,1170.08,369.47,0,430,399
5,2,7.60,5,632.54,175.68,0,421,399
5,2,17.60,13,2362.83,756.93,0,814,396
5,2,18.00,15,3244.21,831.46,0,639,396
5,2,16.20,12,2148.56,710.57,0,458,396
5,2,6.00,2,590.13,106.31,0,440,396
5,2,18.20,16,3442.85,1576.88,0,876,382
5,2,15.40,12,2618.67,602.87,0,752,382
5,2,7.40,4,613.70,178.79,0,440,382
5,2,13.40,10,1607.06,461.87,0,721,38
5,2,15.00,11,1541.68,456.11,0,718,38
5,2,7.80,4,1320.66,301.39,0,458,38
5,2,12.60,9,1401.28,407.12,0,408,38
5,2,9.80,5,1115.11,253.84,0,399,38
5,2,12.20,8,1463.64,397.33,0,396,38
5,2,24.20,19,4843.12,1149.28,0,640,368
5,2,11.00,6,3073.96,618.56,0,557,368
5,2,17.60,10,3640.31,534.45,0,368,38
5,2,15.20,12,3529.87,1150.35,0,414,364
5,2,19.60,14,3724.74,1380.40,0,396,364
5,2,16.80,14,2726.29,756.82,0,421,362
5,2,13.20,9,1951.45,616.86,0,414,362
5,2,14.20,11,2508.31,645.27,0,413,362
5,2,18.80,17,3043.69,1552.62,0,370,362
5,2,15.80,13,2440.37,856.65,0,983,329
5,2,14.80,12,1910.73,598.71,0,721,329
5,2,16.40,13,1946.84,592.95,0,718,329
5,2,5.80,2,973.40,164.55,0,458,329
5,2,13.80,11,1717.91,543.96,0,408,329
5,2,12.00,7,1467.18,390.68,0,399,329
5,2,14.00,10,1847.34,534.16,0,396,329
5,2,5.20,2,897.11,136.84,0,329,38
5,2,21.40,16,3414.47,1019.85,0,983,137
5,2,18.40,12,3054.47,743.90,0,640,137
5,2,17.00,11,2808.18,691.99,0,639,137
